fecha,ticker,precio,moneda,fuente
2025-06-06,IBB,5650.00,ARS,Yahoo Finance IBB.BA
2025-06-09,IBB,5680.00,ARS,Yahoo Finance IBB.BA
2025-06-10,IBB,5710.00,ARS,Yahoo Finance IBB.BA
2025-06-11,IBB,5670.00,ARS,Yahoo Finance IBB.BA
2025-06-12,IBB,5700.00,ARS,Yahoo Finance IBB.BA
2025-06-13,IBB,5650.00,ARS,Yahoo Finance IBB.BA
2025-06-17,IBB,5460.00,ARS,Yahoo Finance IBB.BA
2025-06-18,IBB,5410.00,ARS,Yahoo Finance IBB.BA
2025-06-19,IBB,5250.00,ARS,Yahoo Finance IBB.BA
2025-06-23,IBB,5520.00,ARS,Yahoo Finance IBB.BA
2025-06-24,IBB,5570.00,ARS,Yahoo Finance IBB.BA
2025-06-25,IBB,5650.00,ARS,Yahoo Finance IBB.BA
2025-06-26,IBB,5630.00,ARS,Yahoo Finance IBB.BA
2025-06-27,IBB,5650.00,ARS,Yahoo Finance IBB.BA
2025-06-30,IBB,5710.00,ARS,Yahoo Finance IBB.BA
2025-07-01,IBB,5860.00,ARS,Yahoo Finance IBB.BA
2025-07-02,IBB,5970.00,ARS,Yahoo Finance IBB.BA
2025-07-03,IBB,5880.00,ARS,Yahoo Finance IBB.BA
2025-07-04,IBB,6650.00,ARS,Yahoo Finance IBB.BA
2025-07-07,IBB,6090.00,ARS,Yahoo Finance IBB.BA
2025-07-08,IBB,6010.00,ARS,Yahoo Finance IBB.BA
2025-07-10,IBB,6310.00,ARS,Yahoo Finance IBB.BA
2025-07-11,IBB,6220.00,ARS,Yahoo Finance IBB.BA
2025-07-14,IBB,6370.00,ARS,Yahoo Finance IBB.BA
2025-07-15,IBB,6100.00,ARS,Yahoo Finance IBB.BA
2025-07-16,IBB,6170.00,ARS,Yahoo Finance IBB.BA
2025-07-17,IBB,6290.00,ARS,Yahoo Finance IBB.BA
2025-07-18,IBB,6200.00,ARS,Yahoo Finance IBB.BA
2025-07-21,IBB,6170.00,ARS,Yahoo Finance IBB.BA
2025-07-22,IBB,6220.00,ARS,Yahoo Finance IBB.BA
2025-07-23,IBB,6370.00,ARS,Yahoo Finance IBB.BA
2025-07-24,IBB,6420.00,ARS,Yahoo Finance IBB.BA
2025-07-25,IBB,6490.00,ARS,Yahoo Finance IBB.BA
2025-07-28,IBB,6470.00,ARS,Yahoo Finance IBB.BA
2025-07-29,IBB,6400.00,ARS,Yahoo Finance IBB.BA
2025-07-30,IBB,6540.00,ARS,Yahoo Finance IBB.BA
2025-07-31,IBB,6710.00,ARS,Yahoo Finance IBB.BA
2025-08-01,IBB,6750.00,ARS,Yahoo Finance IBB.BA
2025-08-04,IBB,6820.00,ARS,Yahoo Finance IBB.BA
2025-08-05,IBB,6670.00,ARS,Yahoo Finance IBB.BA
2025-08-06,IBB,6500.00,ARS,Yahoo Finance IBB.BA
2025-08-07,IBB,6440.00,ARS,Yahoo Finance IBB.BA
2025-08-08,IBB,6530.00,ARS,Yahoo Finance IBB.BA
2025-08-11,IBB,6480.00,ARS,Yahoo Finance IBB.BA
2025-08-12,IBB,6580.00,ARS,Yahoo Finance IBB.BA
2025-08-13,IBB,6730.00,ARS,Yahoo Finance IBB.BA
2025-08-14,IBB,6680.00,ARS,Yahoo Finance IBB.BA
2025-08-18,IBB,6650.00,ARS,Yahoo Finance IBB.BA
2025-08-19,IBB,6670.00,ARS,Yahoo Finance IBB.BA
2025-08-20,IBB,6700.00,ARS,Yahoo Finance IBB.BA
2025-08-21,IBB,6770.00,ARS,Yahoo Finance IBB.BA
